zone,file,year,topic,topic_confidence
texts_climate_only_Zone2,UNGA51_1996_VCT_51_1996_CLIMATE.txt,,0,0.924576975711164
texts_climate_only_Zone2,UNGA51_1996_WSM_51_1996_CLIMATE.txt,,0,0.8485165139327295
texts_climate_only_Zone2,UNGA51_1996_ZWE_51_1996_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_ATG_52_1997_CLIMATE.txt,,-1,0.2620402847334702
texts_climate_only_Zone2,UNGA52_1997_AUS_52_1997_CLIMATE.txt,,0,0.886515501728423
texts_climate_only_Zone2,UNGA52_1997_BLZ_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_BRB_52_1997_CLIMATE.txt,,0,0.8692856757878332
texts_climate_only_Zone2,UNGA52_1997_DEU_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_FJI_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_GAB_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_GBR_52_1997_CLIMATE.txt,,0,0.811912094851585
texts_climate_only_Zone2,UNGA52_1997_GUY_52_1997_CLIMATE.txt,,0,0.4128985272285389
texts_climate_only_Zone2,UNGA52_1997_IDN_52_1997_CLIMATE.txt,,-1,0.12792991198931983
texts_climate_only_Zone2,UNGA52_1997_IND_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_ISL_52_1997_CLIMATE.txt,,0,0.7705316864197794
texts_climate_only_Zone2,UNGA52_1997_JPN_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_KOR_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_LTU_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_LUX_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_MDG_52_1997_CLIMATE.txt,,0,0.9039961257285288
texts_climate_only_Zone2,UNGA52_1997_MDV_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_MHL_52_1997_CLIMATE.txt,,0,0.8977014403011695
texts_climate_only_Zone2,UNGA52_1997_MLT_52_1997_CLIMATE.txt,,0,0.482878813833079
texts_climate_only_Zone2,UNGA52_1997_MUS_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_NER_52_1997_CLIMATE.txt,,0,0.8913481072383861
texts_climate_only_Zone2,UNGA52_1997_NOR_52_1997_CLIMATE.txt,,0,0.893390889356984
texts_climate_only_Zone2,UNGA52_1997_PHL_52_1997_CLIMATE.txt,,0,0.8822277362032808
texts_climate_only_Zone2,UNGA52_1997_PNG_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_POL_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_SLB_52_1997_CLIMATE.txt,,0,1.0
texts_climate_only_Zone2,UNGA52_1997_SUR_52_1997_CLIMATE.txt,,1,0.5880259294615138
texts_climate_only_Zone2,UNGA52_1997_SWE_52_1997_CLIMATE.txt,,0,0.9258939979215659
texts_climate_only_Zone2,UNGA52_1997_SYC_52_1997_CLIMATE.txt,,-1,0.232444457001521
texts_climate_only_Zone2,UNGA52_1997_TTO_52_1997_CLIMATE.txt,,1,0.4174483604820774
texts_climate_only_Zone2,UNGA52_1997_TZA_52_1997_CLIMATE.txt,,0,0.8450715542422668
texts_climate_only_Zone2,UNGA52_1997_USA_52_1997_CLIMATE.txt,,0,0.8221721317492392
texts_climate_only_Zone2,UNGA52_1997_VUT_52_1997_CLIMATE.txt,,0,0.8227733979510599
